anuncio_data;anuncio_ano;anuncio_mes;empresa_alvo;municipio;regiao;descr_investimento;setor_desc;cnae_inv_2_desc
30/07/2024;2024;7;Teatro Cultura Artística;São Paulo;RM São Paulo;Reforma teatro  e restauração, englobando a aquisião de equipamentos e instrumentos musicais ;Serviços;Atividades artísticas, criativas e de espetáculos
27/07/2024;2024;7;Eurofarma;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Desenvolvimento medicamento(s) e projetos para novos genéricos e biossimilares no país;Serviços;Pesquisa e desenvolvimento científico
24/07/2024;2024;7;XP Investimentos;São Paulo;RM São Paulo;Inauguração espaço  de relacionamento, o XP Faria Lima em São Paulo, localizado na avenida de mesmo nome, esquina com a Rua Tabapuã;Serviços;Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde
24/07/2024;2024;7;Dengo;São Paulo;RM São Paulo;Inauguração loja franqueada de chocolates e cafés no espaço de relacionamento, o XP Faria Lima em São Paulo, localizado na avenida de mesmo nome, esquina com a Rua Tabapuã;Comércio;Comércio varejista
24/07/2024;2024;7;Credit Saison;São Paulo;RM São Paulo;Abertura escritório da empresa de produtos financeiros ;Serviços;Atividades de serviços financeiros
23/07/2024;2024;7;Fundação Armando Álvares Penteado - Faap;São Paulo;RM São Paulo;Reforço edifício antigo da Faap, o prédio um,  em um ano a ala foi reformulada, inclui ainda estúdios de TV e de podcast, ilhas de edição e espaços de múltiplas funções e uma sala de cinema;Serviços;"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música"
16/07/2024;2024;7;American Burger;Ribeirão Preto;RA Ribeirão Preto;Inauguração lanchonete tipo hamburgeria americana;Serviços;Alimentação
15/07/2024;2024;7;Kura;São Paulo;RM São Paulo;Inauguração unidade  produções artísticas e especializado na gestão de coleções, que atua na catalogação, conservação e organização de acervos na rua Oscar Freire;Serviços;Atividades ligadas ao patrimônio cultural e ambiental
15/07/2024;2024;7;Metrô;São Paulo;RM São Paulo;Compra trem  mais 18 veículos, para atender a para expansão da Linha 15-Prataas novas estações da Boa Esperança e Jacu Pêssego;Infraestrutura;Transporte terrestre
13/07/2024;2024;7;Il Carpaccio;São Paulo;RM São Paulo;Abertura restaurante , com culinária italiana, massa fresca recheada com ricota ao molho trufado, manteiga e grana padano;Serviços;Alimentação
13/07/2024;2024;7;Versa Fuel;São Paulo;RM São Paulo;Ampliação empresa  de aplicativo de delivery de combustíveis;Comércio;Comércio varejista
11/07/2024;2024;7;Global Logistic Properties - GLP;Franco da Rocha;RM São Paulo;Construção galpões e condomínios logísticos e industrial para locação, o Embu III são centros de armazenamento e distribuição de mercadorias;Serviços;Atividades imobiliárias
11/07/2024;2024;7;Global Logistic Properties - GLP;Franco da Rocha;RM São Paulo;Construção galpões e condomínios logísticos e industrial para locação, o Bandeirantes I são centros de armazenamento e distribuição de mercadorias;Serviços;Atividades imobiliárias
11/07/2024;2024;7;Global Logistic Properties - GLP;Guarulhos;RM São Paulo;Construção galpões e condomínios logísticos e industrial para locação, são centros de armazenamento e distribuição de mercadorias;Serviços;Atividades imobiliárias
10/07/2024;2024;7;Mundo Pão do Olivier;São Paulo;RM São Paulo;Abertura padaria na esquina da Avenida Ipiranga com a Avenida São Luís;Comércio;Comércio varejista
10/07/2024;2024;7;Escritório de Contabilidade Garcia;Presidente Prudente;RA Presidente Prudente;Inauguração sede da contabilidade;Serviços;Atividades jurídicas, de contabilidade e de auditoria
09/07/2024;2024;7;Thermas dos Laranjais;Olímpia;RA Barretos;Instalação Sistema de piso emborrachado infantil EPDM em seu complexo Play Kids ainda mais seguro para as crianças no parque aquático;Serviços;Atividades esportivas e de recreação e lazer
08/07/2024;2024;7;Instituto Coragem;São Carlos;RA Central;Inauguração sede do centro dedicado ao cuidado da saúde física, mental e emocional da população;Serviços;Atividades de atenção à saúde humana
06/07/2024;2024;7;Sicredi Planalto das Águas PR/SP;Votorantim;RA Sorocaba;Inauguração agência da cooperativa de crédito na zona Norte;Serviços;Atividades de serviços financeiros
06/07/2024;2024;7;Santa Casa de Santos;Santos;RA Santos;Inauguração instalações do Banco de Sangue;Serviços;Atividades de atenção à saúde humana
06/07/2024;2024;7;Itu Log;Itu;RA Sorocaba;Construção Centro Logístico com galpões de armazenagem e um centro de distribuição localizada na Estrada do Jacuhú;Serviços;Atividades imobiliárias
06/07/2024;2024;7;Santa Casa de São Roque;São Roque;RA Sorocaba;Aquisição equipamento  tomógrafo, que possibilitará produzir exames de alta complexidade com rapidez e alta qualidade de imagem;Serviços;Atividades de atenção à saúde humana
05/07/2024;2024;7;Oxxo;São José dos Campos;RA São José dos Campos;Inauguração padaria  com produção própria de pães com foodservice com salgados, sanduíches, pizzas, refeições prontas, sobremesas e bebidas quentes, geladas e dos diferentes tipos de compras nas 24h em que os estabelecimentos ficam abertos;Comércio;Comércio varejista
05/07/2024;2024;7;Oxxo;Taubaté;RA São José dos Campos;Inauguração padaria  com produção própria de pães com foodservice com salgados, sanduíches, pizzas, refeições prontas, sobremesas e bebidas quentes, geladas e dos diferentes tipos de compras nas 24h em que os estabelecimentos ficam abertos;Comércio;Comércio varejista
05/07/2024;2024;7;Oxxo;Jacareí;RA São José dos Campos;Inauguração padaria  com produção própria de pães com foodservice com salgados, sanduíches, pizzas, refeições prontas, sobremesas e bebidas quentes, geladas e dos diferentes tipos de compras nas 24h em que os estabelecimentos ficam abertos;Comércio;Comércio varejista
05/07/2024;2024;7;Transpetro;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Inauguração rede de oleoduto que liga a maior refinaria da Petrobras, a Refinaria de Paulínia (Replan), ao Terminal Terrestre de Barueri que vai ampliar a capacidade de movimentação de combustíveis;Infraestrutura;Transporte terrestre
03/07/2024;2024;7;Suzano Papel e Celulose;Americana;RA Campinas;Instalação Centro de Distribuição e tem previsão de inauguração em 2025, da fabricante de celulose;Indústria;Fabricação de celulose, papel e produtos de papel
03/07/2024;2024;7;Suzano Papel e Celulose;Limeira;RA Campinas;Ampliação produção de Eucafluff®, a primeira Fluff de eucalipto, da fabricante de celulose;Indústria;Fabricação de celulose, papel e produtos de papel
01/07/2024;2024;7;Life;Itu;RA Sorocaba;Inauguração joalheria com o compromisso que os antigos ourives tinham, criando joias exclusivas e eternas;Comércio;Comércio varejista
01/07/2024;2024;7;Life;Suzano;RM São Paulo;Inauguração joalheria com o compromisso que os antigos ourives tinham, criando joias exclusivas e eternas;Comércio;Comércio varejista
27/06/2024;2024;6;Padaria Pet;São Paulo;RM São Paulo;Inauguração loja e produtos para cachorros e gatos, especializado em petiscos com bolos de aniversário, naturais e boutique para cães e gatos;Comércio;Comércio varejista
27/06/2024;2024;6;O Boticário;Cajamar;RM São Paulo;Inauguração Centro de distribuição da fábrica de perfumes, loções, cremes, maquiagens e linha de tratamento corporal;Indústria;Fabricação de produtos químicos
26/06/2024;2024;6;CPTM;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Ampliação Linha 13-Jade com quatro estações entre o aeroporto de Guarulhos e o centro da cidade (Jardim dos Eucaliptos, São João, Jardim Presidente Dutra e Bonsucesso), e duas entre São Paulo e o aeroporto (Cangaíba e Gabriela Mistral);Infraestrutura;Transporte terrestre
25/06/2024;2024;6;Cestto Atacadista;Taboão da Serra;RM São Paulo;Construção loja de comércio atacadista e varejista de mercadorias em geral, com predominância de produtos alimentícios;Comércio;Comércio por atacado, exceto veículos automotores e motocicletas
25/06/2024;2024;6;Irina Restaurante;São Paulo;RM São Paulo;Abertura restaurante com gastronomia da culinária brasileira, de norte a sul.;Serviços;Alimentação
24/06/2024;2024;6;Faria Lima Business Center;São Paulo;RM São Paulo;Construção prédio comercial que oferece grande flexibilidade de ocupação por conta de suas lajes livres de pilares, podendo sediar empresas de diversos portes e segmentos, entrega está programada para 2026;Serviços;Atividades imobiliárias
24/06/2024;2024;6;EDP São Paulo;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Modernização manutenção de  sistema(s) de distribuição de energia elétrica no período de 2024 e 2026;Infraestrutura;Eletricidade, gás e outras utilidades
23/06/2024;2024;6;Sabesp;Ilhabela;RA São José dos Campos;Instalação usina de dessalinização na cidade do litoral norte, da água do mar à partir de 2026;Infraestrutura;Captação, tratamento e distribuição de água
21/06/2024;2024;6;ViaMobilidade;São Paulo;RM São Paulo;Construção Linha  6 - Laranja, do metrô, ligando a zona oeste ao centro, ampliação de mais 4,3 quilômetros por meio de duas novas estações - Comendador Sant?anna e Jardim Ângela;Infraestrutura;Transporte terrestre
19/06/2024;2024;6;Edge;Santos;RA Santos;Inauguração terminal de Regaseificação de São Paulo (TRSP), que conta com um navio especializado em armazenar e regaseificar gás natural liquefeito (GNL) importado, localizado no Porto de Santos  (complemento das fichas 5334 e 6348);Infraestrutura;Eletricidade, gás e outras utilidades
19/06/2024;2024;6;Commit;Narandiba;RA Presidente Prudente;Instalação rede  de gasodutos exclusiva para a distribuição de biometano iniciativa liga a Usina Cocal;Infraestrutura;Eletricidade, gás e outras utilidades
19/06/2024;2024;6;Scania;São Bernardo do Campo;RM São Paulo;Modernização fábrica de caminhões e ônibus;Indústria;Fabricação de veículos automotores, reboques e carrocerias
19/06/2024;2024;6;ISA Cteep;Itapeva;RA Itapeva;Modernização Sistema elétrico da subestação que atende as cidades de Itapeva, Itaberá, Nova Campina e Taquarivaí;Infraestrutura;Eletricidade, gás e outras utilidades
17/06/2024;2024;6;JCB;Sorocaba;RA Sorocaba;Ampliação fábrica  de equipamentos e máquinas para construção e  em serviços como de terraplenagem;Indústria;Fabricação de máquinas e equipamentos
12/06/2024;2024;6;Dolce & Gabbana e Havaianas;São Paulo;RM São Paulo;Inauguração loja pop-up da sold out da collab, com os quatro modelos da coleção no Shopping JK Iguatemi;Comércio;Comércio varejista
11/06/2024;2024;6;Novofio;Presidente Prudente;RA Presidente Prudente;Inauguração clínica  franqueada de alimentos diet, light, integrais, orgânicos, funcionais, sem glúten, sem lactose, suplementos esportivos Rua Prefeito Florivaldo Leal, 105;Serviços;Outras atividades de serviços pessoais
11/06/2024;2024;6;Plano&Plano;São Paulo;RM São Paulo;Inauguração sede da construtora de edifícios residenciais, comerciais e os de usos específicos, ela tem salas de reunião equipadas para formatos virtuais e híbridos, ambientes coletivos e informais, no conceito biofilia;Serviços;Construção de edifícios
10/06/2024;2024;6;Prasi;São Paulo;RM São Paulo;Abertura loja de revenda de joias com design modernista brasileiro e da natureza robusta do Brasil no Shopping Iguatemi São Paulo;Comércio;Comércio varejista
10/06/2024;2024;6;ViaQuatro;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;"Construção projeto da extensão da Linha 4-Amarela de metrô até Taboão da Serra no período de 2024 a 2028, são duas novas estações: uma na Chácara Jockey, nas imediações da Avenida Professor Francisco Morato, na Vila Sônia; e outra em Taboão da Serra";Infraestrutura;Transporte terrestre
09/06/2024;2024;6;Bio Mundo;Presidente Prudente;RA Presidente Prudente;Inauguração loja franqueada de alimentos diet, light, integrais, orgânicos, funcionais, sem glúten, sem lactose, suplementos esportivos Rua Prefeito Florivaldo Leal, 105;Comércio;Comércio varejista
05/06/2024;2024;6;Hospital Veterinário VFP;São José dos Campos;RA São José dos Campos;Instalação hospital franqueado de tratamento intensivo para pets, duas unidades na cidade ;Serviços;Atividades veterinárias
05/06/2024;2024;6;Hospital Veterinário VFP;São Paulo;RM São Paulo;Instalação hospital franqueado de tratamento intensivo para pets;Serviços;Atividades veterinárias
05/06/2024;2024;6;Audi Airport Service;São Paulo;RM São Paulo;Reinauguração oficina de revisões programadas, além de serviços mais corriqueiros, como troca de óleo e filtros e lavagem a seco da marca no Aeroporto de Congonhas;Comércio;Comércio e reparação de veículos automotores e motocicletas
04/06/2024;2024;6;Hospital Infantil Sabará;São Paulo;RM São Paulo;Instalação hospital com pronto socorro infantil e equipes especializadas em crianças e adolescentes, centro cirúrgico, hotelaria hospitalar;Serviços;Atividades de atenção à saúde humana
03/06/2024;2024;6;Academia da Face;São Paulo;RM São Paulo;Inauguração clínica  de procedimentos tecnológicos para o rejuvenescimento, serão instaladas dentro de salões de beleza;Serviços;Outras atividades de serviços pessoais
03/06/2024;2024;6;Academia da Face;São Paulo;RM São Paulo;Inauguração clínica de procedimentos tecnológicos para o rejuvenescimento, serão instaladas dentro de salões de beleza;Serviços;Outras atividades de serviços pessoais
01/06/2024;2024;6;Swarovski;São Paulo;RM São Paulo;Reinauguração loja franqueada de joias, relógios e bijuterias no Shopping Iguatemi São Paulo;Comércio;Comércio varejista
